id,title,description,severity,scanner,scanner_type,rule_id,file_path,line_start,line_end,cve_id,cwe_id,fix_available,is_suppressed,suppression_kind,suppression_justification,detected_at,code_snippet,tags,properties,references,raw_data
semgrep-python.flask.security.audit.debug-enabled.debug-enabled-3810,python.flask.security.audit.debug-enabled.debug-enabled,"Detected Flask app with debug=True. Do not deploy to production with this flag enabled as it will leak sensitive information. Instead, consider using Flask configuration variables or setting 'debug' using system environment variables.",HIGH,semgrep,UNKNOWN,python.flask.security.audit.debug-enabled.debug-enabled,app.py,2715,2720,,,,False,,,2025-09-07T17:54:28.760802+00:00,"app.run(
        host='127.0.0.1',  # Localhost only for security
        port=5000,
        debug=True,
        threaded=True
    )","[""semgrep""]","{""tags"": [""semgrep""], ""scanner_name"": ""semgrep"", ""scanner_version"": ""3.0.0"", ""scanner_details"": {""tool_name"": ""semgrep"", ""tool_version"": ""3.0.0"", ""tool_invocation"": {""start_time"": ""2025-09-07T17:53:48.160452+00:00"", ""end_time"": ""2025-09-07T17:54:28.644087+00:00""}}}",,"{""ruleId"":""python.flask.security.audit.debug-enabled.debug-enabled"",""ruleIndex"":-1,""kind"":""fail"",""level"":""error"",""message"":{""text"":""Detected Flask app with debug=True. Do not deploy to production with this flag enabled as it will leak sensitive information. Instead, consider using Flask configuration variables or setting 'debug' using system environment variables."",""arguments"":[]},""locations"":[{""id"":-1,""physicalLocation"":{""artifactLocation"":{""uri"":""app.py"",""uriBaseId"":""%SRCROOT%"",""index"":-1},""region"":{""startLine"":2715,""startColumn"":5,""endLine"":2720,""endColumn"":6,""charOffset"":-1,""byteOffset"":-1,""snippet"":{""text"":""    app.run(\n        host='127.0.0.1',  # Localhost only for security\n        port=5000,\n        debug=True,\n        threaded=True\n    )""}}},""logicalLocations"":[],""annotations"":[],""relationships"":[]}],""fingerprints"":{""matchBasedId/v1"":""requires login""},""stacks"":[],""codeFlows"":[],""graphs"":[],""graphTraversals"":[],""relatedLocations"":[],""rank"":-1.0,""attachments"":[],""fixes"":[],""taxa"":[],""properties"":{""tags"":[""semgrep""],""scanner_name"":""semgrep"",""scanner_version"":""3.0.0"",""scanner_details"":{""tool_name"":""semgrep"",""tool_version"":""3.0.0"",""tool_invocation"":{""start_time"":""2025-09-07T17:53:48.160452+00:00"",""end_time"":""2025-09-07T17:54:28.644087+00:00""}}}}"
semgrep-python.lang.security.audit.hardcoded-password-default-argument.hardcoded-password-default-argument-4720,python.lang.security.audit.hardcoded-password-default-argument.hardcoded-password-default-argument,Hardcoded password is used as a default argument to '__init__'. This could be dangerous if a real password is not supplied.,HIGH,semgrep,UNKNOWN,python.lang.security.audit.hardcoded-password-default-argument.hardcoded-password-default-argument,scripts/generate_demo_database.py,309,323,,,,True,external,(ASH) Suppressing finding for rule 'python.lang.security.audit.hardcoded-password-default-argument.hardcoded-password-default-argument' in 'scripts/generate_demo_database.py' with reason: This is a demo database setup script,2025-09-07T17:54:28.760888+00:00,"def __init__(self, db_path: str = ""networth_demo.db"", password: str = ""demo123""):
        """"""
        Initialize demo database creator.

        Args:
            db_path: Path for the demo database file
            password: Password for encryption (default demo password)
        """"""
        self.db_path = db_path
        self.password = password
        self.encryption_service = EncryptionService()

        # Derive encryption key with fixed salt for demo consistency
        demo_salt = b'demo_salt_123456'  # Fixed salt for demo database
        self.encryption_service.derive_key(password, demo_salt)","[""semgrep""]","{""tags"": [""semgrep""], ""scanner_name"": ""semgrep"", ""scanner_version"": ""3.0.0"", ""scanner_details"": {""tool_name"": ""semgrep"", ""tool_version"": ""3.0.0"", ""tool_invocation"": {""start_time"": ""2025-09-07T17:53:48.160452+00:00"", ""end_time"": ""2025-09-07T17:54:28.644087+00:00""}}}",,"{""ruleId"":""python.lang.security.audit.hardcoded-password-default-argument.hardcoded-password-default-argument"",""ruleIndex"":-1,""kind"":""fail"",""level"":""error"",""message"":{""text"":""Hardcoded password is used as a default argument to '__init__'. This could be dangerous if a real password is not supplied."",""arguments"":[]},""locations"":[{""id"":-1,""physicalLocation"":{""artifactLocation"":{""uri"":""scripts/generate_demo_database.py"",""uriBaseId"":""%SRCROOT%"",""index"":-1},""region"":{""startLine"":309,""startColumn"":5,""endLine"":323,""endColumn"":64,""charOffset"":-1,""byteOffset"":-1,""snippet"":{""text"":""    def __init__(self, db_path: str = \""networth_demo.db\"", password: str = \""demo123\""):\n        \""\""\""\n        Initialize demo database creator.\n\n        Args:\n            db_path: Path for the demo database file\n            password: Password for encryption (default demo password)\n        \""\""\""\n        self.db_path = db_path\n        self.password = password\n        self.encryption_service = EncryptionService()\n\n        # Derive encryption key with fixed salt for demo consistency\n        demo_salt = b'demo_salt_123456'  # Fixed salt for demo database\n        self.encryption_service.derive_key(password, demo_salt)""}}},""logicalLocations"":[],""annotations"":[],""relationships"":[]}],""fingerprints"":{""matchBasedId/v1"":""requires login""},""stacks"":[],""codeFlows"":[],""graphs"":[],""graphTraversals"":[],""relatedLocations"":[],""suppressions"":[{""kind"":""external"",""justification"":""(ASH) Suppressing finding for rule 'python.lang.security.audit.hardcoded-password-default-argument.hardcoded-password-default-argument' in 'scripts/generate_demo_database.py' with reason: This is a demo database setup script""}],""rank"":-1.0,""attachments"":[],""fixes"":[],""taxa"":[],""properties"":{""tags"":[""semgrep""],""scanner_name"":""semgrep"",""scanner_version"":""3.0.0"",""scanner_details"":{""tool_name"":""semgrep"",""tool_version"":""3.0.0"",""tool_invocation"":{""start_time"":""2025-09-07T17:53:48.160452+00:00"",""end_time"":""2025-09-07T17:54:28.644087+00:00""}}}}"
semgrep-javascript.browser.security.insecure-document-method.insecure-document-method-5023,javascript.browser.security.insecure-document-method.insecure-document-method,"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities",HIGH,semgrep,UNKNOWN,javascript.browser.security.insecure-document-method.insecure-document-method,static/js/app.js,85,85,,,,False,,,2025-09-07T17:54:28.760927+00:00,container.innerHTML = html;,"[""semgrep""]","{""tags"": [""semgrep""], ""scanner_name"": ""semgrep"", ""scanner_version"": ""3.0.0"", ""scanner_details"": {""tool_name"": ""semgrep"", ""tool_version"": ""3.0.0"", ""tool_invocation"": {""start_time"": ""2025-09-07T17:53:48.160452+00:00"", ""end_time"": ""2025-09-07T17:54:28.644087+00:00""}}}",,"{""ruleId"":""javascript.browser.security.insecure-document-method.insecure-document-method"",""ruleIndex"":-1,""kind"":""fail"",""level"":""error"",""message"":{""text"":""User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities"",""arguments"":[]},""locations"":[{""id"":-1,""physicalLocation"":{""artifactLocation"":{""uri"":""static/js/app.js"",""uriBaseId"":""%SRCROOT%"",""index"":-1},""region"":{""startLine"":85,""startColumn"":13,""endLine"":85,""endColumn"":40,""charOffset"":-1,""byteOffset"":-1,""snippet"":{""text"":""            container.innerHTML = html;""}}},""logicalLocations"":[],""annotations"":[],""relationships"":[]}],""fingerprints"":{""matchBasedId/v1"":""requires login""},""stacks"":[],""codeFlows"":[],""graphs"":[],""graphTraversals"":[],""relatedLocations"":[],""rank"":-1.0,""attachments"":[],""fixes"":[],""taxa"":[],""properties"":{""tags"":[""semgrep""],""scanner_name"":""semgrep"",""scanner_version"":""3.0.0"",""scanner_details"":{""tool_name"":""semgrep"",""tool_version"":""3.0.0"",""tool_invocation"":{""start_time"":""2025-09-07T17:53:48.160452+00:00"",""end_time"":""2025-09-07T17:54:28.644087+00:00""}}}}"
semgrep-javascript.browser.security.insecure-document-method.insecure-document-method-5023,javascript.browser.security.insecure-document-method.insecure-document-method,"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities",HIGH,semgrep,UNKNOWN,javascript.browser.security.insecure-document-method.insecure-document-method,static/js/app.js,289,289,,,,False,,,2025-09-07T17:54:28.760955+00:00,submitButton.innerHTML = originalText;,"[""semgrep""]","{""tags"": [""semgrep""], ""scanner_name"": ""semgrep"", ""scanner_version"": ""3.0.0"", ""scanner_details"": {""tool_name"": ""semgrep"", ""tool_version"": ""3.0.0"", ""tool_invocation"": {""start_time"": ""2025-09-07T17:53:48.160452+00:00"", ""end_time"": ""2025-09-07T17:54:28.644087+00:00""}}}",,"{""ruleId"":""javascript.browser.security.insecure-document-method.insecure-document-method"",""ruleIndex"":-1,""kind"":""fail"",""level"":""error"",""message"":{""text"":""User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities"",""arguments"":[]},""locations"":[{""id"":-1,""physicalLocation"":{""artifactLocation"":{""uri"":""static/js/app.js"",""uriBaseId"":""%SRCROOT%"",""index"":-1},""region"":{""startLine"":289,""startColumn"":13,""endLine"":289,""endColumn"":51,""charOffset"":-1,""byteOffset"":-1,""snippet"":{""text"":""            submitButton.innerHTML = originalText;""}}},""logicalLocations"":[],""annotations"":[],""relationships"":[]}],""fingerprints"":{""matchBasedId/v1"":""requires login""},""stacks"":[],""codeFlows"":[],""graphs"":[],""graphTraversals"":[],""relatedLocations"":[],""rank"":-1.0,""attachments"":[],""fixes"":[],""taxa"":[],""properties"":{""tags"":[""semgrep""],""scanner_name"":""semgrep"",""scanner_version"":""3.0.0"",""scanner_details"":{""tool_name"":""semgrep"",""tool_version"":""3.0.0"",""tool_invocation"":{""start_time"":""2025-09-07T17:53:48.160452+00:00"",""end_time"":""2025-09-07T17:54:28.644087+00:00""}}}}"
semgrep-javascript.browser.security.insecure-document-method.insecure-document-method-5023,javascript.browser.security.insecure-document-method.insecure-document-method,"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities",HIGH,semgrep,UNKNOWN,javascript.browser.security.insecure-document-method.insecure-document-method,static/js/app.js,638,638,,,,False,,,2025-09-07T17:54:28.760983+00:00,button.innerHTML = originalText;,"[""semgrep""]","{""tags"": [""semgrep""], ""scanner_name"": ""semgrep"", ""scanner_version"": ""3.0.0"", ""scanner_details"": {""tool_name"": ""semgrep"", ""tool_version"": ""3.0.0"", ""tool_invocation"": {""start_time"": ""2025-09-07T17:53:48.160452+00:00"", ""end_time"": ""2025-09-07T17:54:28.644087+00:00""}}}",,"{""ruleId"":""javascript.browser.security.insecure-document-method.insecure-document-method"",""ruleIndex"":-1,""kind"":""fail"",""level"":""error"",""message"":{""text"":""User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities"",""arguments"":[]},""locations"":[{""id"":-1,""physicalLocation"":{""artifactLocation"":{""uri"":""static/js/app.js"",""uriBaseId"":""%SRCROOT%"",""index"":-1},""region"":{""startLine"":638,""startColumn"":17,""endLine"":638,""endColumn"":49,""charOffset"":-1,""byteOffset"":-1,""snippet"":{""text"":""                button.innerHTML = originalText;""}}},""logicalLocations"":[],""annotations"":[],""relationships"":[]}],""fingerprints"":{""matchBasedId/v1"":""requires login""},""stacks"":[],""codeFlows"":[],""graphs"":[],""graphTraversals"":[],""relatedLocations"":[],""rank"":-1.0,""attachments"":[],""fixes"":[],""taxa"":[],""properties"":{""tags"":[""semgrep""],""scanner_name"":""semgrep"",""scanner_version"":""3.0.0"",""scanner_details"":{""tool_name"":""semgrep"",""tool_version"":""3.0.0"",""tool_invocation"":{""start_time"":""2025-09-07T17:53:48.160452+00:00"",""end_time"":""2025-09-07T17:54:28.644087+00:00""}}}}"
semgrep-javascript.browser.security.insecure-document-method.insecure-document-method-5023,javascript.browser.security.insecure-document-method.insecure-document-method,"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities",HIGH,semgrep,UNKNOWN,javascript.browser.security.insecure-document-method.insecure-document-method,static/js/app.js,677,677,,,,False,,,2025-09-07T17:54:28.761006+00:00,button.innerHTML = originalText;,"[""semgrep""]","{""tags"": [""semgrep""], ""scanner_name"": ""semgrep"", ""scanner_version"": ""3.0.0"", ""scanner_details"": {""tool_name"": ""semgrep"", ""tool_version"": ""3.0.0"", ""tool_invocation"": {""start_time"": ""2025-09-07T17:53:48.160452+00:00"", ""end_time"": ""2025-09-07T17:54:28.644087+00:00""}}}",,"{""ruleId"":""javascript.browser.security.insecure-document-method.insecure-document-method"",""ruleIndex"":-1,""kind"":""fail"",""level"":""error"",""message"":{""text"":""User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities"",""arguments"":[]},""locations"":[{""id"":-1,""physicalLocation"":{""artifactLocation"":{""uri"":""static/js/app.js"",""uriBaseId"":""%SRCROOT%"",""index"":-1},""region"":{""startLine"":677,""startColumn"":17,""endLine"":677,""endColumn"":49,""charOffset"":-1,""byteOffset"":-1,""snippet"":{""text"":""                button.innerHTML = originalText;""}}},""logicalLocations"":[],""annotations"":[],""relationships"":[]}],""fingerprints"":{""matchBasedId/v1"":""requires login""},""stacks"":[],""codeFlows"":[],""graphs"":[],""graphTraversals"":[],""relatedLocations"":[],""rank"":-1.0,""attachments"":[],""fixes"":[],""taxa"":[],""properties"":{""tags"":[""semgrep""],""scanner_name"":""semgrep"",""scanner_version"":""3.0.0"",""scanner_details"":{""tool_name"":""semgrep"",""tool_version"":""3.0.0"",""tool_invocation"":{""start_time"":""2025-09-07T17:53:48.160452+00:00"",""end_time"":""2025-09-07T17:54:28.644087+00:00""}}}}"
semgrep-javascript.browser.security.insecure-document-method.insecure-document-method-5023,javascript.browser.security.insecure-document-method.insecure-document-method,"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities",HIGH,semgrep,UNKNOWN,javascript.browser.security.insecure-document-method.insecure-document-method,static/js/app.js,762,762,,,,False,,,2025-09-07T17:54:28.761028+00:00,button.innerHTML = originalText;,"[""semgrep""]","{""tags"": [""semgrep""], ""scanner_name"": ""semgrep"", ""scanner_version"": ""3.0.0"", ""scanner_details"": {""tool_name"": ""semgrep"", ""tool_version"": ""3.0.0"", ""tool_invocation"": {""start_time"": ""2025-09-07T17:53:48.160452+00:00"", ""end_time"": ""2025-09-07T17:54:28.644087+00:00""}}}",,"{""ruleId"":""javascript.browser.security.insecure-document-method.insecure-document-method"",""ruleIndex"":-1,""kind"":""fail"",""level"":""error"",""message"":{""text"":""User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities"",""arguments"":[]},""locations"":[{""id"":-1,""physicalLocation"":{""artifactLocation"":{""uri"":""static/js/app.js"",""uriBaseId"":""%SRCROOT%"",""index"":-1},""region"":{""startLine"":762,""startColumn"":13,""endLine"":762,""endColumn"":45,""charOffset"":-1,""byteOffset"":-1,""snippet"":{""text"":""            button.innerHTML = originalText;""}}},""logicalLocations"":[],""annotations"":[],""relationships"":[]}],""fingerprints"":{""matchBasedId/v1"":""requires login""},""stacks"":[],""codeFlows"":[],""graphs"":[],""graphTraversals"":[],""relatedLocations"":[],""rank"":-1.0,""attachments"":[],""fixes"":[],""taxa"":[],""properties"":{""tags"":[""semgrep""],""scanner_name"":""semgrep"",""scanner_version"":""3.0.0"",""scanner_details"":{""tool_name"":""semgrep"",""tool_version"":""3.0.0"",""tool_invocation"":{""start_time"":""2025-09-07T17:53:48.160452+00:00"",""end_time"":""2025-09-07T17:54:28.644087+00:00""}}}}"
semgrep-javascript.browser.security.insecure-document-method.insecure-document-method-5023,javascript.browser.security.insecure-document-method.insecure-document-method,"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities",HIGH,semgrep,UNKNOWN,javascript.browser.security.insecure-document-method.insecure-document-method,static/js/app.js,1368,1368,,,,False,,,2025-09-07T17:54:28.761049+00:00,container.innerHTML = html;,"[""semgrep""]","{""tags"": [""semgrep""], ""scanner_name"": ""semgrep"", ""scanner_version"": ""3.0.0"", ""scanner_details"": {""tool_name"": ""semgrep"", ""tool_version"": ""3.0.0"", ""tool_invocation"": {""start_time"": ""2025-09-07T17:53:48.160452+00:00"", ""end_time"": ""2025-09-07T17:54:28.644087+00:00""}}}",,"{""ruleId"":""javascript.browser.security.insecure-document-method.insecure-document-method"",""ruleIndex"":-1,""kind"":""fail"",""level"":""error"",""message"":{""text"":""User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities"",""arguments"":[]},""locations"":[{""id"":-1,""physicalLocation"":{""artifactLocation"":{""uri"":""static/js/app.js"",""uriBaseId"":""%SRCROOT%"",""index"":-1},""region"":{""startLine"":1368,""startColumn"":5,""endLine"":1368,""endColumn"":32,""charOffset"":-1,""byteOffset"":-1,""snippet"":{""text"":""    container.innerHTML = html;""}}},""logicalLocations"":[],""annotations"":[],""relationships"":[]}],""fingerprints"":{""matchBasedId/v1"":""requires login""},""stacks"":[],""codeFlows"":[],""graphs"":[],""graphTraversals"":[],""relatedLocations"":[],""rank"":-1.0,""attachments"":[],""fixes"":[],""taxa"":[],""properties"":{""tags"":[""semgrep""],""scanner_name"":""semgrep"",""scanner_version"":""3.0.0"",""scanner_details"":{""tool_name"":""semgrep"",""tool_version"":""3.0.0"",""tool_invocation"":{""start_time"":""2025-09-07T17:53:48.160452+00:00"",""end_time"":""2025-09-07T17:54:28.644087+00:00""}}}}"
semgrep-typescript.react.security.audit.react-unsanitized-method.react-unsanitized-method-5296,typescript.react.security.audit.react-unsanitized-method.react-unsanitized-method,"Detection of insertAdjacentHTML from non-constant definition. This can inadvertently expose users to cross-site scripting (XSS) attacks if this comes from user-provided input. If you have to use insertAdjacentHTML, consider using a sanitization library such as DOMPurify to sanitize your HTML.",HIGH,semgrep,UNKNOWN,typescript.react.security.audit.react-unsanitized-method.react-unsanitized-method,static/js/app.js,1519,1519,,,,False,,,2025-09-07T17:54:28.761071+00:00,"document.body.insertAdjacentHTML('beforeend', modalHTML);","[""semgrep""]","{""tags"": [""semgrep""], ""scanner_name"": ""semgrep"", ""scanner_version"": ""3.0.0"", ""scanner_details"": {""tool_name"": ""semgrep"", ""tool_version"": ""3.0.0"", ""tool_invocation"": {""start_time"": ""2025-09-07T17:53:48.160452+00:00"", ""end_time"": ""2025-09-07T17:54:28.644087+00:00""}}}",,"{""ruleId"":""typescript.react.security.audit.react-unsanitized-method.react-unsanitized-method"",""ruleIndex"":-1,""kind"":""fail"",""level"":""error"",""message"":{""text"":""Detection of insertAdjacentHTML from non-constant definition. This can inadvertently expose users to cross-site scripting (XSS) attacks if this comes from user-provided input. If you have to use insertAdjacentHTML, consider using a sanitization library such as DOMPurify to sanitize your HTML."",""arguments"":[]},""locations"":[{""id"":-1,""physicalLocation"":{""artifactLocation"":{""uri"":""static/js/app.js"",""uriBaseId"":""%SRCROOT%"",""index"":-1},""region"":{""startLine"":1519,""startColumn"":51,""endLine"":1519,""endColumn"":60,""charOffset"":-1,""byteOffset"":-1,""snippet"":{""text"":""    document.body.insertAdjacentHTML('beforeend', modalHTML);""}}},""logicalLocations"":[],""annotations"":[],""relationships"":[]}],""fingerprints"":{""matchBasedId/v1"":""requires login""},""stacks"":[],""codeFlows"":[],""graphs"":[],""graphTraversals"":[],""relatedLocations"":[],""rank"":-1.0,""attachments"":[],""fixes"":[],""taxa"":[],""properties"":{""tags"":[""semgrep""],""scanner_name"":""semgrep"",""scanner_version"":""3.0.0"",""scanner_details"":{""tool_name"":""semgrep"",""tool_version"":""3.0.0"",""tool_invocation"":{""start_time"":""2025-09-07T17:53:48.160452+00:00"",""end_time"":""2025-09-07T17:54:28.644087+00:00""}}}}"
semgrep-javascript.browser.security.insecure-document-method.insecure-document-method-5023,javascript.browser.security.insecure-document-method.insecure-document-method,"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities",HIGH,semgrep,UNKNOWN,javascript.browser.security.insecure-document-method.insecure-document-method,static/js/app.js,1607,1607,,,,False,,,2025-09-07T17:54:28.761094+00:00,demoIndicator.innerHTML = getDemoIndicatorHTML(account);,"[""semgrep""]","{""tags"": [""semgrep""], ""scanner_name"": ""semgrep"", ""scanner_version"": ""3.0.0"", ""scanner_details"": {""tool_name"": ""semgrep"", ""tool_version"": ""3.0.0"", ""tool_invocation"": {""start_time"": ""2025-09-07T17:53:48.160452+00:00"", ""end_time"": ""2025-09-07T17:54:28.644087+00:00""}}}",,"{""ruleId"":""javascript.browser.security.insecure-document-method.insecure-document-method"",""ruleIndex"":-1,""kind"":""fail"",""level"":""error"",""message"":{""text"":""User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities"",""arguments"":[]},""locations"":[{""id"":-1,""physicalLocation"":{""artifactLocation"":{""uri"":""static/js/app.js"",""uriBaseId"":""%SRCROOT%"",""index"":-1},""region"":{""startLine"":1607,""startColumn"":9,""endLine"":1607,""endColumn"":65,""charOffset"":-1,""byteOffset"":-1,""snippet"":{""text"":""        demoIndicator.innerHTML = getDemoIndicatorHTML(account);""}}},""logicalLocations"":[],""annotations"":[],""relationships"":[]}],""fingerprints"":{""matchBasedId/v1"":""requires login""},""stacks"":[],""codeFlows"":[],""graphs"":[],""graphTraversals"":[],""relatedLocations"":[],""rank"":-1.0,""attachments"":[],""fixes"":[],""taxa"":[],""properties"":{""tags"":[""semgrep""],""scanner_name"":""semgrep"",""scanner_version"":""3.0.0"",""scanner_details"":{""tool_name"":""semgrep"",""tool_version"":""3.0.0"",""tool_invocation"":{""start_time"":""2025-09-07T17:53:48.160452+00:00"",""end_time"":""2025-09-07T17:54:28.644087+00:00""}}}}"
